KakaoTalk Chats 자바 프로그래밍 전체톡 (24)
Date Saved : May 28, 2018, 9:46 AM


March 3, 2018, 12:52 AM
March 3, 2018, 12:52 AM, 최성현(Liel) joined this chatroom.
You may temporarily be banned from using the service if other members report you for sending inappropriate messages.
March 3, 2018, 5:28 PM, Java programing joined this chatroom.
March 3, 2018, 5:28 PM, Java programing left this chatroom.
March 3, 2018, 5:28 PM, Java programing joined this chatroom.
March 3, 2018, 8:54 PM, ㅇ : 안녕하세요 교수님! 
교수님께서 올려주신 pdf에서 
1)Set up the JDE 에 있는 자바 다운로드 링크를 누르니 페이지를 찾을 수 없다고 뜹니다..! 그냥 Java se 9.0.4를 설치하면 되나요??
March 3, 2018, 8:58 PM, 남재창 : 네 링크가 잘못결려있는 것 같은데, ppt나온 링크를 복사 후 브라우저에 붙여넣기 하면 될거에요.
March 3, 2018, 8:58 PM, 남재창 : http://www.oracle.com/technetwork/java/javase/downloads/index.html
March 3, 2018, 9:29 PM, ㅇ : 앗 그렇군요. 감사합니다!!
March 3, 2018, 9:31 PM, 남재창 : ppt를 pdf로 변환하는 프로그램에 버그가 좀 있는 것 같아요. 설치하는 건 랩시간에 하는 거니까, 파일만 다운로드 받으면 되요. 미리하고 설치하고 싶으면 미리해도 되긴 하고요 :)
March 3, 2018, 9:34 PM, Java_Lov joined this chatroom.
March 3, 2018, 11:56 PM, 박세은 joined this chatroom.

March 5, 2018, 12:00 AM
March 5, 2018, 12:00 AM, java joined this chatroom.
March 5, 2018, 8:41 AM, 남재창 : Good morning everyone! 곧 강의실에서 만나요 :) 9:30. 지각 세번 하면 한번 결석~~~~
March 5, 2018, 9:20 AM, 한정섭 joined this chatroom.
March 5, 2018, 9:38 AM, 21500002 joined this chatroom.
March 5, 2018, 9:49 AM, 도영 joined this chatroom.
March 5, 2018, 9:57 AM, java : 채팅방에서 말한것
March 5, 2018, 9:58 AM, Java_Lov : 키보드?
March 5, 2018, 9:58 AM, 김대교 : 저장??
March 5, 2018, 9:58 AM, java : 명령어?
March 5, 2018, 9:58 AM, 정희석 : 스트링?
March 5, 2018, 9:58 AM, 김기범 : 저장한 파일이요
March 5, 2018, 9:58 AM, 김재윤 : 저장한파일
March 5, 2018, 9:58 AM, Java_Lov : 파일파일
March 5, 2018, 9:58 AM, 성빈 : 정보?
March 5, 2018, 9:59 AM, java : 메세지
March 5, 2018, 9:59 AM, java : 파일
March 5, 2018, 9:59 AM, 이승용 : 파일
March 5, 2018, 9:59 AM, java : csv파일
March 5, 2018, 10:00 AM, Java_Lov : input: 사람들의 이름과 시간이 적혀있는 csv파일
output: 사람들의 이름과 메세지의 count가 적혀있는 csv파일
March 5, 2018, 10:01 AM, 송창우(SCW) joined this chatroom.
March 5, 2018, 10:01 AM, 송창우(SCW) : 인간이 작성하는 프로그램 언어
March 5, 2018, 10:01 AM, 이승용 : human friendly 랭귀지
March 5, 2018, 10:02 AM, Java_Lov : 0과 1로 이루어진 기계어
March 5, 2018, 10:02 AM, 이승용 : 바이너리???
March 5, 2018, 10:02 AM, java : CPU 메모리에서 처리할 수 있는 언어
March 5, 2018, 10:12 AM, 송창우(SCW) : virtual machine
March 5, 2018, 10:13 AM, Java_Lov : bytecode
March 5, 2018, 10:13 AM, java : virtual machine Bytecode
March 5, 2018, 10:13 AM, 김대교 : Bytecode virtual machine
March 5, 2018, 10:13 AM, 도영 : virtual machine bytecode
March 5, 2018, 10:13 AM, 한정섭 : virtual machine bytecode
March 5, 2018, 10:13 AM, 이현지 : Bytecode, virtual machine
March 5, 2018, 10:13 AM, 이승용 : 가상기계
March 5, 2018, 10:13 AM, 한정섭 : 임베디드 시스템이 들어간 기계?
March 5, 2018, 10:13 AM, 송창우(SCW) : 물리적으로 존재하지 않지만 프로그램 적으로 존재하는 기계?
March 5, 2018, 10:13 AM, 유정연 : 에뮬레이터?
